transactionDate,assetDescription,readyTime,readyTimeUOM,CO2eFactor,engineIdleAFC,dieselSavedVolume,dieselSavedVolumeUOM,dieselRate,dieselRateUOM,dieselSavedCost,CO2eReduction,CO2eReductionUOM,chargeAmount,currency
2022-06-04T00:00:00.000Z,Pump_19,8.9,hour,10.21 kg/gal,12.00 gal/hr,106.8,gal,5.6,USD / gal,583.13,1090.43,kg,215.26,USD
2022-06-04T00:00:00.000Z,Pump_20,9.7,hour,10.21 kg/gal,12.00 gal/hr,116.4,gal,5.6,USD / gal,643.69,1188.44,kg,227.37,USD
2022-06-05T00:00:00.000Z,Pump_1,4.2,hour,10.21 kg/gal,15.06 gal/hr,63.25,gal,5.49,USD / gal,364.33,645.8,kg,171.5,USD
2022-06-05T00:00:00.000Z,Pump_2,6.3,hour,10.21 kg/gal,15.06 gal/hr,94.88,gal,5.49,USD / gal,524.68,968.7,kg,203.57,USD
2022-06-05T00:00:00.000Z,Pump_3,9.1,hour,10.21 kg/gal,15.06 gal/hr,137.05,gal,5.49,USD / gal,751.01,1399.24,kg,248.83,USD
2022-06-05T00:00:00.000Z,Pump_4,9.5,hour,10.21 kg/gal,15.06 gal/hr,143.07,gal,5.49,USD / gal,788.32,1460.74,kg,256.29,USD
2022-06-05T00:00:00.000Z,Pump_5,6.6,hour,10.21 kg/gal,15.06 gal/hr,99.4,gal,5.49,USD / gal,577.49,1014.83,kg,214.13,USD
2022-06-05T00:00:00.000Z,Pump_6,7.3,hour,10.21 kg/gal,15.06 gal/hr,109.94,gal,5.49,USD / gal,637.64,1122.47,kg,226.16,USD
2022-06-05T00:00:00.000Z,Pump_7,8.7,hour,10.21 kg/gal,15.06 gal/hr,131.02,gal,5.49,USD / gal,725.86,1337.73,kg,243.8,USD
2022-06-05T00:00:00.000Z,Pump_8,8.4,hour,10.21 kg/gal,15.06 gal/hr,126.5,gal,5.49,USD / gal,717.28,1291.61,kg,242.09,USD
2022-06-05T00:00:00.000Z,Pump_9,6.3,hour,10.21 kg/gal,15.06 gal/hr,94.88,gal,5.49,USD / gal,549.34,968.7,kg,208.5,USD
2022-06-05T00:00:00.000Z,Pump_10,9.4,hour,10.21 kg/gal,12.00 gal/hr,112.8,gal,5.49,USD / gal,621.53,1151.69,kg,222.94,USD
2022-06-05T00:00:00.000Z,Pump_11,9.2,hour,10.21 kg/gal,12.00 gal/hr,110.4,gal,5.49,USD / gal,617.14,1127.18,kg,222.06,USD
2022-06-05T00:00:00.000Z,Pump_12,9.6,hour,10.21 kg/gal,12.00 gal/hr,115.2,gal,5.49,USD / gal,640.51,1176.19,kg,226.73,USD
2022-06-05T00:00:00.000Z,Pump_13,6.6,hour,10.21 kg/gal,12.00 gal/hr,79.2,gal,5.49,USD / gal,426.89,808.63,kg,184.01,USD
